"bnum","int","cit","fsta","aktk","bed","aktf","aeda","uhr","mvnr","lfnr","ndat","nuhr","oaid","_hoodie_commit_time","sys_shard"
"723057877","15222612","2430","1","1439","8880888","FER","2023-03-08 00:00:00.000","80525","9492167612","30.0","2023-03-08 00:00:00.000","80525","1028172664","20230707135908","38"
"722009716","15222612","11","1","534","8880888","FER","2023-03-01 00:00:00.000","142201","9491892197","8.0","2023-03-01 00:00:00.000","142201","1025991142","20230707135908","63"
"732460659","15222612","10","11","8456","8880888","WCR","2023-05-02 00:00:00.000","153846","9493743858","112.0","2023-05-02 00:00:00.000","153846","1029949245","20230707135908","4"
"735390736","15222612","1269","4","12605","8880888","IN","2023-05-18 00:00:00.000","114630","9494362399","147.0","2023-05-18 00:00:00.000","114630","1030616853","20230707135908","50"
"726460552","15222612","2097","1","3600","8880888","FER","2023-03-29 00:00:00.000","85159","9492701690","64.0","2023-03-29 00:00:00.000","85159","1028968561","20230707135908","50"
"722144576","15222612","45369","11","701","8880888","WCR","2023-03-02 00:00:00.000","120007","9492019330","14.0","2023-03-02 00:00:00.000","120007","1027504010","20230707135908","52"
"734990738","15222612","162","11","12213","8880888","WCR","2023-05-16 00:00:00.000","91215","9494204959","136.0","2023-05-16 00:00:00.000","91215","1031170968","20230707135908","68"
"722905208","15222612","2430","4","1271","8880888","IN","2023-03-07 00:00:00.000","70950","9492062898","23.0","2023-03-07 00:00:00.000","70950","1028148261","20230707135908","54"
"721318249","15222612","11","99","6","9000018901","FER","2023-02-24 00:00:00.000","210108","0","4.0","2023-02-24 00:00:00.000","210108","0","20230707135908","20"
"722293420","15222612","45369","0","739","8880888","OUT","2023-03-03 00:00:00.000","93938","0","20.0","2023-03-03 00:00:00.000","93938","0","20230707135908","34"
"729896970","15222612","364","10","3699","9000045630","ANG","2023-04-18 00:00:00.000","153928","0","77.0","2023-04-18 00:00:00.000","153928","0","20230707135908","26"
"731515254","15222612","364","4","7780","8880888","IN","2023-04-27 00:00:00.000","123619","9493644211","104.0","2023-04-27 00:00:00.000","123619","1029821002","20230707135908","72"
"732133327","15222612","10","10","7800","9000023450","ANG","2023-04-30 00:00:00.000","152000","0","111.0","2023-04-30 00:00:00.000","152000","0","20230707135908","74"
"735610551","15222612","1269","99","12605","9000044354","FER","2023-05-19 00:00:00.000","142241","0","153.0","2023-05-19 00:00:00.000","142241","0","20230707135908","15"
"726460046","15222612","2097","4","3600","8880888","IN","2023-03-29 00:00:00.000","84858","9492701690","63.0","2023-03-29 00:00:00.000","84858","0","20230707135908","15"
"730361127","15222612","364","1","6418","8880888","FER","2023-04-21 00:00:00.000","71239","9493394628","86.0","2023-04-21 00:00:00.000","71239","1029223308","20230707135908","18"
"731203481","15222612","364","4","7506","8880888","IN","2023-04-25 00:00:00.000","170045","9493598869","97.0","2023-04-25 00:00:00.000","170045","1028704362","20230707135908","37"
"729910640","15222612","364","1","5609","8880888","FER","2023-04-18 00:00:00.000","165603","9492779803","80.0","2023-04-18 00:00:00.000","165603","1029320318","20230707135908","38"
"723458001","15222612","2430","1","1910","94233","FER","2023-03-11 00:00:00.000","95940","0","40.0","2023-03-11 00:00:00.000","95940","0","20230707135908","26"
"726465857","15222612","2097","99","3600","98089","FER","2023-03-29 00:00:00.000","92217","0","65.0","2023-03-29 00:00:00.000","92217","0","20230707135908","26"
"734991989","15222612","162","4","12213","9000046363","IN","2023-05-16 00:00:00.000","90000","9494204959","139.0","2023-05-16 00:00:00.000","91918","0","20230707135908","4"
"726529607","15222612","364","0","3699","9000010675","OUT","2023-03-29 00:00:00.000","155837","9492779803","74.0","2023-03-29 00:00:00.000","155837","1029320318","20230707135908","69"
"721318902","15222612","11","0","6","9000018901","OUT","2023-02-24 00:00:00.000","210755","9491892197","5.0","2023-02-24 00:00:00.000","210755","1025991142","20230707135908","52"
"726524749","15222612","364","10","3600","9000010675","ANG","2023-03-29 00:00:00.000","153010","0","67.0","2023-03-29 00:00:00.000","153010","0","20230707135908","52"
"731277459","15222612","364","0","7506","9000031277","OUT","2023-04-26 00:00:00.000","71252","9493644211","101.0","2023-04-26 00:00:00.000","71252","1029821002","20230707135908","35"
"735265309","15222612","1269","10","12216","9000046579","ANG","2023-05-17 00:00:00.000","170447","0","145.0","2023-05-17 00:00:00.000","170447","0","20230707135908","9"
"730361142","15222612","364","3","6418","9000031277","BLO","2023-04-21 00:00:00.000","71245","0","87.0","2023-04-21 00:00:00.000","71245","0","20230707135908","73"
"723457907","15222612","2430","1","1910","96454","FER","2023-03-11 00:00:00.000","95715","0","38.0","2023-03-11 00:00:00.000","95715","0","20230707135908","7"
"726459947","15222612","2097","11","3600","8880888","WCR","2023-03-29 00:00:00.000","84821","9492701690","62.0","2023-03-29 00:00:00.000","84821","1028968561","20230707135908","74"
"722015804","15222612","11","99","534","9000046365","FER","2023-03-01 00:00:00.000","150035","0","9.0","2023-03-01 00:00:00.000","150035","0","20230707135908","28"
"723458109","15222612","2430","0","1910","96454","OUT","2023-03-11 00:00:00.000","100216","9492268878","42.0","2023-03-11 00:00:00.000","100216","1028551749","20230707135908","62"
"733636348","15222612","162","1","9475","8880888","FER","2023-05-09 00:00:00.000","55115","9494050898","126.0","2023-05-09 00:00:00.000","55115","1031000339","20230707135908","48"
"735382627","15222612","1269","11","12605","8880888","WCR","2023-05-18 00:00:00.000","105814","9494362399","146.0","2023-05-18 00:00:00.000","105814","1030616853","20230707135908","53"
"723458027","15222612","2430","99","1910","96454","FER","2023-03-11 00:00:00.000","100137","0","41.0","2023-03-11 00:00:00.000","100137","0","20230707135908","14"
"735390738","15222612","1269","1","12605","8880888","FER","2023-05-18 00:00:00.000","114631","9494362399","148.0","2023-05-18 00:00:00.000","114631","1030616853","20230707135908","42"
"722292690","15222612","45369","99","701","98041","FER","2023-03-03 00:00:00.000","93547","0","18.0","2023-03-03 00:00:00.000","93547","0","20230707135908","26"
